"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"45","aikana",1,47,"aikana",3.11120295524597,6.68741512298584,8.35486507415771,"aikana",246.468085106383,184.085106382979,171,"-1",89301621,"fi","none",52360,10.866,6,8.0600004196167,1.15141034126282,2045,1896017,6,2,6.42640018463135,2.33777189254761,8.37219524383545,6.62540435791016,1,1
"46","kiinni",1,48,"kiinni.",13.6095116138458,3.78921461105347,7.58650207519531,"kiinni.",453.170212765957,399.553191489362,268.553191489362,"-1",89301621,"fi","none",3613,8.192,6,3.11120295524597,8.0600004196167,52360,2045,6,6,6.68741512298584,6.42640018463135,8.35486507415771,8.37219524383545,1,1
"47","Porttien",1,49,"Porttien",14.6957287788391,3.06280207633972,6.82188320159912,"Porttien",741.510638297872,218.446808510638,156.404255319149,"-1",89301621,"fi","none",15,2.708,8,13.6095116138458,3.11120295524597,3613,52360,6,6,3.78921461105347,6.68741512298584,7.58650207519531,8.35486507415771,1,1
"48","jumalana",1,50,"jumalana",9.03418016433716,6.7267951965332,8.2299976348877,"jumalana",518.808510638298,291.36170212766,249.191489361702,"-1",89301621,"fi","none",46,3.829,8,14.6957287788391,13.6095116138458,15,3613,8,6,3.06280207633972,3.78921461105347,6.82188320159912,7.58650207519531,1,1
"49","hänen",1,51,"hänen",5.97728300094604,1.06018757820129,5.52211809158325,"hänen",347.510638297872,203.595744680851,197.234042553192,"-1",89301621,"fi","none",90836,11.417,5,9.03418016433716,14.6957287788391,46,15,8,8,6.7267951965332,3.06280207633972,8.2299976348877,6.82188320159912,1,1
"50","ajateltiin",1,52,"ajateltiin",10.6101679801941,6.1595458984375,7.92913675308228,"ajateltiin",549.489361702128,340.893617021277,242.468085106383,"-1",89301621,"fi","none",306,5.724,10,5.97728300094604,9.03418016433716,90836,46,5,8,1.06018757820129,6.7267951965332,5.52211809158325,8.2299976348877,1,1
"51","myös",1,53,"myös",3.93563270568848,5.21217155456543,7.4591121673584,"myös",143.148936170213,110.893617021277,110.893617021277,"-1",89301621,"fi","none",262534,12.478,4,10.6101679801941,5.97728300094604,306,90836,10,5,6.1595458984375,1.06018757820129,7.92913675308228,5.52211809158325,1,1
"52","kulkevan",1,54,"kulkevan",8.32758661685511,5.60819721221924,7.68476057052612,"kulkevan",448.63829787234,290.510638297872,226.63829787234,"-1",89301621,"fi","none",564,6.335,8,3.93563270568848,10.6101679801941,262534,306,4,10,5.21217155456543,6.1595458984375,7.4591121673584,7.92913675308228,1,1
"53","kotien",1,55,"kotien",12.9418344497681,7.22513675689697,8.49278736114502,"kotien",467.212765957447,276.851063829787,235.978723404255,"-1",89301621,"fi","none",71,4.263,6,8.32758661685511,3.93563270568848,564,262534,8,4,5.60819721221924,5.21217155456543,7.68476057052612,7.4591121673584,1,1
"54","ovista",1,56,"ovista",8.71397471427917,5.06379985809326,7.50874137878418,"ovista",422.723404255319,260.872340425532,234.574468085106,"-1",89301621,"fi","none",30,3.401,6,12.9418344497681,8.32758661685511,71,564,6,8,7.22513675689697,5.60819721221924,8.49278736114502,7.68476057052612,1,1
